ID,cluster,wealth
BJ2012_155,155,"0,11618791520596"
BJ2012_156,156,"0,35819917917252"
BJ2012_157,157,"-0,35497373342514"
BJ2012_158,158,"0,01838043518364"
BJ2012_159,159,"0,44899582862854"
BJ2012_160,160,"-0,46757125854492"
BJ2012_161,161,"-0,74480128288269"
BJ2012_162,162,"-0,87193167209625"
BJ2012_163,163,"-0,35168957710266"
BJ2012_164,164,"-0,79922389984131"
BJ2012_165,165,"-0,68046057224274"
BJ2012_166,166,"-0,88864040374756"
BJ2012_167,167,"-0,89169877767563"
BJ2012_168,168,"-0,42670825123787"
BJ2012_169,169,"-0,80429911613464"
BJ2012_170,170,"-0,36089912056923"
BJ2012_171,171,"-0,91145044565201"
BJ2012_172,172,"0,26455238461494"
BJ2012_173,173,"-0,64454305171967"
BJ2012_174,174,"-0,70840102434158"
BJ2012_175,175,"-0,41365772485733"
BJ2012_176,176,"-0,58342826366425"
BJ2012_177,177,"-0,53235787153244"
BJ2012_178,178,"-0,35301521420479"
BJ2012_179,179,"-0,11786772310734"
BJ2012_180,180,"-0,15846714377403"
BJ2012_181,181,"-0,39236000180244"
BJ2012_182,182,"-0,25808915495873"
BJ2012_183,183,"-0,04014913737774"
BJ2012_184,184,"-0,37430348992348"
BJ2012_185,185,"-0,35398709774017"
BJ2012_186,186,"-0,68978834152222"
BJ2012_187,187,"-0,20956477522850"
BJ2012_188,188,"-0,59210461378098"
BJ2012_189,189,"-0,81752169132233"
BJ2012_190,190,"0,06159041449428"
BJ2012_191,191,"-0,93478918075562"
BJ2012_192,192,"-0,87578582763672"
BJ2012_193,193,"-0,60374915599823"
BJ2012_194,194,"-0,99269539117813"
BJ2012_195,195,"-0,34602084755898"
BJ2012_196,196,"-0,44403874874115"
BJ2012_197,197,"-0,67521828413010"
BJ2012_198,198,"0,29808250069618"
BJ2012_199,199,"-0,69631081819534"
BJ2012_200,200,"-0,18411958217621"
BJ2012_201,201,"-0,41779249906540"
BJ2012_202,202,"-0,73666083812714"
