,ID,LATNUM,LONGNUM
2022,TZ2011_55,"-2,568738","32,232993"
2031,TZ2011_566,"-6,862464","39,199263"
2036,TZ2011_574,"-5,388417","39,646952"
2041,TZ2011_580,"-7,128574","31,219105"
2043,TZ2011_582,"-3,003023","37,571715"
2044,TZ2011_585,"-8,688706","32,088148"
2045,TZ2011_589,"-8,437186","31,212508"
2048,TZ2011_593,"-2,967020","32,238458"
2050,TZ2011_596,"-3,347377","36,631104"
2052,TZ2011_599,"-2,441759","32,103947"
2055,TZ2011_606,"-1,781419","31,611039"
2059,TZ2011_613,"-6,252498","31,244786"
2063,TZ2011_62,"-3,611136","30,938820"
2065,TZ2011_622,"-11,144953","34,975142"
2067,TZ2011_630,"-1,425852","31,774536"
2070,TZ2011_634,"-6,856593","39,261439"
2071,TZ2011_636,"-7,754946","31,660677"
2072,TZ2011_637,"-9,804153","34,719664"
2074,TZ2011_64,"-5,015138","39,828705"
2075,TZ2011_640,"-7,490064","31,421474"
2078,TZ2011_644,"-6,048130","39,254323"
2081,TZ2011_652,"-6,164550","39,223448"
2082,TZ2011_656,"-6,818608","30,440495"
2086,TZ2011_662,"-5,634490","38,411343"
2098,TZ2011_677,"-6,288118","31,265369"
2099,TZ2011_68,"-7,615985","39,095083"
2101,TZ2011_682,"-5,983314","39,272973"
2105,TZ2011_688,"-3,125008","37,596609"
2110,TZ2011_694,"-7,450928","31,427928"
2112,TZ2011_696,"-6,154426","39,215446"
2113,TZ2011_697,"-4,954415","39,777365"
2114,TZ2011_698,"-7,360357","30,632876"
2115,TZ2011_699,"-2,878440","32,243378"
2116,TZ2011_70,"-7,238743","31,380776"
2117,TZ2011_702,"-6,306702","30,894759"
2120,TZ2011_708,"-11,084057","34,809410"
2123,TZ2011_711,"-3,622107","30,678348"
2125,TZ2011_714,"-1,295874","31,070212"
2126,TZ2011_716,"-1,665388","30,963685"
2127,TZ2011_719,"-9,360063","33,995798"
2129,TZ2011_723,"-3,393994","30,867753"
2132,TZ2011_726,"-6,216346","39,214108"
